repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
webpack/webpack,18886,30,460,280,10.014722222222222,604,0,0,1
webpack/webpack,18885,2,232,251,10.664444444444445,51498,0,0,1
webpack/webpack,18882,1,224,244,24.04388888888889,50456,0,0,1
webpack/webpack,18881,11,292,10,10.303611111111111,643,0,0,1
webpack/webpack,18880,1,79,105,24.06111111111111,36196,0,0,1
webpack/webpack,18877,1,50,86,23.705277777777777,33545,0,0,1
webpack/webpack,18869,1,37,73,96.1613888888889,9147,0,0,1
webpack/webpack,18867,30,5016,59,23.119722222222222,1246,0,0,1
webpack/webpack,18862,1,31,67,24.16111111111111,5155,0,0,1
webpack/webpack,18860,30,682,20,193.15444444444444,933,0,4,3
webpack/webpack,18857,13,389,331,34.29638888888889,1258,0,2,2
webpack/webpack,18856,2,339,310,34.78527777777778,65535,0,0,1
webpack/webpack,18855,3,132,129,20.66888888888889,665,0,0,1
webpack/webpack,18850,30,34,34,1.7919444444444443,1217,0,1,2
webpack/webpack,18849,26,624,314,46.91833333333334,600,0,0,1
webpack/webpack,18846,2,339,310,72.24,65535,0,0,1
webpack/webpack,18845,8,335,283,92.05583333333334,1930,0,3,3
webpack/webpack,18844,2,339,310,23.787222222222223,65535,0,0,1
webpack/webpack,18842,10,424,199,21.448888888888888,600,0,0,1
webpack/webpack,18841,9,7912,1389,4.667222222222223,613,0,0,1
webpack/webpack,18840,4,2929,35,2.835277777777778,600,0,0,1
webpack/webpack,18839,2,339,310,24.044444444444444,65535,0,0,1
webpack/webpack,18836,2,336,307,22.821944444444444,65535,0,0,1
webpack/webpack,18835,2,336,307,25.301944444444445,65535,0,0,1
webpack/webpack,18834,7,99,55,94.50111111111111,646,0,1,2
webpack/webpack,18833,6,43,22,1.1133333333333333,598,0,0,1
webpack/webpack,18832,2,46,12,324.0494444444444,669,0,0,1
webpack/webpack,18831,2,266,243,72.05722222222222,65535,0,0,1
webpack/webpack,18830,25,363,14,20.183333333333334,655,0,0,1
webpack/webpack,18828,1,238,210,24.163611111111113,65535,0,0,1
webpack/webpack,18827,6,39,6,1.218888888888889,600,0,0,1
webpack/webpack,18824,1,75,54,23.100833333333334,65535,0,0,1
webpack/webpack,18823,7,76,37,12.954444444444444,602,0,0,1
webpack/webpack,18822,8,147,102,308.9166666666667,1029,0,1,1
webpack/webpack,18818,30,418,219,27.049722222222222,615,0,0,1
webpack/webpack,18816,1,72,51,48.49138888888889,65535,0,0,1
webpack/webpack,18815,2,11,19,13.1775,3715,0,0,1
webpack/webpack,18814,1,1,1,296.93666666666667,1116,0,0,1
webpack/webpack,18811,12,430,0,571.4452777777777,1159,0,25,3
webpack/webpack,18805,1,72,51,71.6875,65535,0,0,1
webpack/webpack,18803,19,241,11,3.1013888888888888,647,0,0,1
webpack/webpack,18801,1,66,45,24.600833333333334,63593,0,0,1
webpack/webpack,18800,12,62,6,21.16861111111111,679,0,0,1
webpack/webpack,18799,1,66,45,9.356111111111112,63593,0,0,1
webpack/webpack,18798,1,1,1,1.3622222222222222,604,0,0,1
webpack/webpack,18791,1,64,48,14.681111111111111,63949,0,0,1
webpack/webpack,18790,4,87,100,21.218888888888888,2242,0,1,2
webpack/webpack,18783,1,51,35,23.878333333333334,61973,0,0,1
webpack/webpack,18781,1,38,30,23.648888888888887,59337,0,0,1
webpack/webpack,18777,1,25,17,71.77555555555556,14513,0,0,1
webpack/webpack,18774,1,6,6,24.150555555555556,5592,0,0,1
webpack/webpack,18773,1,9,9,11.962222222222222,9714,0,1,2
webpack/webpack,18772,30,242,64,187.5063888888889,1242,0,30,3
webpack/webpack,18770,2,14,14,12.238611111111112,16813,0,1,2
webpack/webpack,18767,2,11,11,23.297777777777778,6980,0,0,1
webpack/webpack,18763,1,3,3,72.38277777777778,2787,0,0,1
webpack/webpack,18762,6,83,0,116.80722222222222,1069,0,1,2
webpack/webpack,18758,1,3,3,2.4675,5285,0,1,2
webpack/webpack,18755,3,33,1,15.70111111111111,637,0,0,1
webpack/webpack,18753,5,34,25,3.1275,700,0,0,1
webpack/webpack,18751,1,0,5,8.069444444444445,1570,0,0,1
webpack/webpack,18750,14,182,7,363.0838888888889,304,0,1,2
webpack/webpack,18746,1,39,40,16.959722222222222,15509,0,0,1
webpack/webpack,18745,1,16,9,14.031666666666666,26663,0,1,2
webpack/webpack,18742,1,6,6,36.48861111111111,4615,0,1,2
webpack/webpack,18741,2,7,2,36.481944444444444,15213,0,0,1
webpack/webpack,18739,11,73,6,56.30583333333333,1191,0,1,2
webpack/webpack,18738,8,64,32,57.20916666666667,1421,0,1,2
webpack/webpack,18737,1,3,3,24.38722222222222,2783,0,0,1
webpack/webpack,18733,1,86,146,8.716111111111111,52724,0,1,2
webpack/webpack,18730,2,77,62,26.718055555555555,1745,0,1,2
webpack/webpack,18729,1,86,146,24.191944444444445,51137,0,0,1
webpack/webpack,18725,1,75,135,72.37416666666667,47251,0,0,1
webpack/webpack,18716,1,105,59,48.05861111111111,43129,0,0,1
webpack/webpack,18715,2,5,4,158.0013888888889,1246,0,1,2
webpack/webpack,18713,6,27,17,162.3136111111111,1732,0,1,2
webpack/webpack,18709,6,21,2,21.329444444444444,1688,0,1,2
webpack/webpack,18708,1,105,59,47.59111111111111,43129,0,0,1
webpack/webpack,18702,1,92,46,95.82611111111112,19494,0,0,1
webpack/webpack,18700,3,9,5,23.171388888888888,909,0,2,3
webpack/webpack,18699,3,27,1,4.270555555555555,2323,0,1,2
webpack/webpack,18698,1,92,46,24.110277777777778,19494,0,0,1
webpack/webpack,18696,11,158,151,5.3436111111111115,2314,0,1,2
webpack/webpack,18695,1,86,40,23.942222222222224,14120,0,0,1
webpack/webpack,18693,1,83,37,24.428333333333335,11202,0,0,1
webpack/webpack,18689,2,68,1,154.48638888888888,2054,0,3,2
webpack/webpack,18686,1,75,29,71.91111111111111,11198,0,0,1
webpack/webpack,18682,1,8,8,8.178611111111111,2783,0,1,2
webpack/webpack,18679,21,419,202,16.590833333333332,607,0,0,1
