repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
xtekky/gpt4free,2291,1,21,2,29.6975,62,0,0,1
xtekky/gpt4free,2285,30,1030,436,73.69416666666666,4567,0,0,1
xtekky/gpt4free,2282,1,2,1,117.95166666666667,52,0,0,1
xtekky/gpt4free,2281,1,9,1,131.6161111111111,986,0,0,1
xtekky/gpt4free,2277,14,679,143,51.56388888888889,2808,0,2,2
xtekky/gpt4free,2275,2,13,4,1.5166666666666666,265,0,0,1
xtekky/gpt4free,2272,30,1842,875,98.56555555555556,9262,0,0,1
xtekky/gpt4free,2268,1,27,0,177.3672222222222,224,0,0,1
xtekky/gpt4free,2262,13,649,440,13.139444444444445,3796,0,1,2
xtekky/gpt4free,2259,1,11,11,317.13,112,0,0,1
xtekky/gpt4free,2258,1,5,6,317.19444444444446,104,0,0,1
xtekky/gpt4free,2257,1,1,1,317.2527777777778,28,0,1,2
xtekky/gpt4free,2252,1,1,1,38.725833333333334,498,0,0,1
xtekky/gpt4free,2251,1,2,2,75.18722222222222,59,0,0,1
xtekky/gpt4free,2246,30,1007,994,130.2025,9711,0,0,1
xtekky/gpt4free,2227,1,27,0,360.34777777777776,236,0,0,1
xtekky/gpt4free,2223,1,1,0,17.68166666666667,4,0,0,1
xtekky/gpt4free,2220,20,840,792,104.21583333333334,7167,0,1,2
xtekky/gpt4free,2219,1,8,0,440.75111111111113,73,0,0,1
xtekky/gpt4free,2215,1,28,0,55.0675,97,0,0,1
xtekky/gpt4free,2210,1,19,12,744.1877777777778,2030,0,2,2
xtekky/gpt4free,2207,30,1267,435,180.7086111111111,9202,0,0,1
xtekky/gpt4free,2206,1,1,1,30.29222222222222,0,0,0,1
xtekky/gpt4free,2196,30,527,1083,85.61444444444444,4029,0,0,1
xtekky/gpt4free,2186,26,411,393,132.6375,0,0,0,1
xtekky/gpt4free,2147,7,72,10,77.71222222222222,55,0,0,1
xtekky/gpt4free,2138,1,33,1,146.19305555555556,494,0,0,1
xtekky/gpt4free,2135,1,12,3,78.20527777777778,0,0,0,1
xtekky/gpt4free,2134,1,12,11,2.9205555555555556,0,0,0,1
xtekky/gpt4free,2132,1,6,4,26.585555555555555,412,0,0,1
xtekky/gpt4free,2125,22,1003,373,171.23333333333332,6625,0,0,1
xtekky/gpt4free,2110,3,765,0,490.42527777777775,1104,0,0,1
xtekky/gpt4free,2109,1,27,0,176.12527777777777,0,0,1,2
xtekky/gpt4free,2106,1,183,149,44.61083333333333,0,0,1,2
xtekky/gpt4free,2103,26,1072,337,56.43694444444444,6675,0,1,2
xtekky/gpt4free,2097,1,6,1,1.7861111111111112,2635,0,0,1
xtekky/gpt4free,2089,1,1,1,4.7219444444444445,24,0,0,1
xtekky/gpt4free,2080,1,41,17,20.125,163,0,7,2
xtekky/gpt4free,2077,2,49,0,45.05166666666667,0,0,0,1
xtekky/gpt4free,2064,1,1,1,7.133611111111111,669,0,0,1
xtekky/gpt4free,2062,1,4,4,9.990833333333333,109,0,0,1
xtekky/gpt4free,2057,3,3,0,6.5008333333333335,106,0,0,1
xtekky/gpt4free,2054,1,4,2,18.10361111111111,356,0,0,1
xtekky/gpt4free,2044,1,3,2,52.455,121,0,0,1
xtekky/gpt4free,2043,1,26,15,52.57361111111111,157,0,0,1
xtekky/gpt4free,2032,1,3,2,135.7511111111111,55,0,0,1
xtekky/gpt4free,2031,1,5,3,142.2175,228,0,0,1
xtekky/gpt4free,2005,1,1,1,10.865833333333333,0,0,0,1
xtekky/gpt4free,1995,6,100,43,23.646944444444443,0,0,1,2
xtekky/gpt4free,1985,1,8,1,8.975555555555555,1562,0,0,1
xtekky/gpt4free,1977,4,53,121,2.153611111111111,0,0,1,2
xtekky/gpt4free,1974,4,62,57,1.2666666666666666,0,0,1,2
xtekky/gpt4free,1966,3,7,2,3.8316666666666666,666,0,1,2
xtekky/gpt4free,1958,10,72,43,22.98,29,0,0,1
xtekky/gpt4free,1934,1,4,1,29.325555555555557,0,0,0,1
xtekky/gpt4free,1933,1,1,1,32.581944444444446,15,0,0,1
xtekky/gpt4free,1927,1,1,1,286.70972222222224,60,0,0,1
xtekky/gpt4free,1926,10,203,25,64.085,241,0,0,1
xtekky/gpt4free,1923,1,6,0,27.078611111111112,34,0,0,1
