repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
yangshun/tech-interview-handbook,666,1,1,1,1.386388888888889,568,0,1,2
yangshun/tech-interview-handbook,662,1,7,10,111.71888888888888,0,0,0,1
yangshun/tech-interview-handbook,659,2,6,2,365.3727777777778,0,0,1,2
yangshun/tech-interview-handbook,654,1,2,2,1940.4069444444444,175,0,0,1
yangshun/tech-interview-handbook,651,1,1,1,8.912777777777778,20,0,1,2
yangshun/tech-interview-handbook,648,1,3,3,1.6994444444444445,59,0,1,2
yangshun/tech-interview-handbook,641,1,1,0,4.944444444444445,65,0,1,2
yangshun/tech-interview-handbook,639,1,1,1,4411.949166666666,57,0,1,2
yangshun/tech-interview-handbook,636,1,6,0,46.11194444444445,0,0,1,2
yangshun/tech-interview-handbook,632,1,2,2,5972.454722222222,254,0,1,2
yangshun/tech-interview-handbook,625,1,2,0,16.483055555555556,103,0,1,2
yangshun/tech-interview-handbook,622,3,48,2,7.386111111111111,494,0,2,2
yangshun/tech-interview-handbook,618,1,1,0,12.895277777777778,40,0,0,1
yangshun/tech-interview-handbook,617,1,2,1,5.241666666666666,109,0,0,1
yangshun/tech-interview-handbook,616,1,1,1,4.168055555555555,119,0,0,1
yangshun/tech-interview-handbook,610,1,9,0,2.761388888888889,373,0,1,2
yangshun/tech-interview-handbook,609,1,1,1,35.15777777777778,322,0,1,2
yangshun/tech-interview-handbook,605,1,2,2,421.09222222222223,167,0,1,2
yangshun/tech-interview-handbook,604,1,3,3,8.345277777777778,56,0,1,2
yangshun/tech-interview-handbook,599,7,22,22,5.816111111111111,0,0,1,2
yangshun/tech-interview-handbook,596,1,2,2,16.740833333333335,0,0,1,2
yangshun/tech-interview-handbook,594,1,1,1,2.207777777777778,123,0,1,2
yangshun/tech-interview-handbook,593,1,1,0,9.091666666666667,82,0,0,1
yangshun/tech-interview-handbook,591,1,1,0,7.420833333333333,0,0,0,1
yangshun/tech-interview-handbook,589,1,1,1,271.8161111111111,104,0,0,1
yangshun/tech-interview-handbook,588,1,5,1,462.1591666666667,0,0,1,2
yangshun/tech-interview-handbook,587,1,10,2,463.7113888888889,70,0,1,2
yangshun/tech-interview-handbook,586,1,1,1,1.4925,0,0,1,2
yangshun/tech-interview-handbook,585,1,1,1,57.7575,97,0,1,2
yangshun/tech-interview-handbook,583,1,1,1,2.448611111111111,29,0,1,2
yangshun/tech-interview-handbook,582,1,1,1,2.477777777777778,15,0,1,2
yangshun/tech-interview-handbook,579,1,1,1,188.02555555555554,79,0,1,2
yangshun/tech-interview-handbook,578,1,13,0,124.57,0,0,1,2
yangshun/tech-interview-handbook,575,1,1,0,1126.4441666666667,89,0,1,2
yangshun/tech-interview-handbook,574,1,1,1,1444.0780555555555,68,0,1,2
yangshun/tech-interview-handbook,573,1,1,1,6.564166666666667,81,0,0,1
yangshun/tech-interview-handbook,572,4,139,118,14.136388888888888,93,0,1,2
yangshun/tech-interview-handbook,570,1,1,1,57.68333333333333,257,0,1,2
yangshun/tech-interview-handbook,568,1,116,4,142.9163888888889,282,0,2,1
yangshun/tech-interview-handbook,567,1,7,0,8.065833333333334,141,0,1,2
yangshun/tech-interview-handbook,566,1,11,6,98.73305555555555,16,0,0,1
yangshun/tech-interview-handbook,563,2,4,0,108.525,158,0,1,2
yangshun/tech-interview-handbook,560,1,1,1,759.1186111111111,61,0,0,1
yangshun/tech-interview-handbook,559,1,1,1,60.38305555555556,171,0,0,1
yangshun/tech-interview-handbook,558,1,1,1,1.7397222222222222,48,0,1,2
yangshun/tech-interview-handbook,557,1,1,1,9.466944444444444,69,0,1,2
yangshun/tech-interview-handbook,539,2,106,2,4.559166666666667,154,0,0,1
yangshun/tech-interview-handbook,537,5,128,2,5.815,83,0,0,1
yangshun/tech-interview-handbook,533,2,8,8,4.2316666666666665,0,0,0,1
yangshun/tech-interview-handbook,522,1,34,18,1.4333333333333333,0,0,0,1
yangshun/tech-interview-handbook,519,1,5,0,1.255,0,0,0,1
yangshun/tech-interview-handbook,518,5,282,198,1.1669444444444443,0,0,0,1
yangshun/tech-interview-handbook,517,9,223,182,1.4933333333333334,0,0,0,1
yangshun/tech-interview-handbook,516,14,188,146,3.925,0,0,1,2
yangshun/tech-interview-handbook,513,5,52,1,17.75722222222222,0,0,0,1
yangshun/tech-interview-handbook,511,1,4,6,4.1,0,0,0,1
yangshun/tech-interview-handbook,510,15,398,9,692.0786111111111,0,0,1,2
yangshun/tech-interview-handbook,506,14,605,393,27.929444444444446,0,0,0,1
yangshun/tech-interview-handbook,505,1,6,1,1.9133333333333333,68,0,1,2
yangshun/tech-interview-handbook,501,30,685,278,15.938888888888888,0,0,0,1
yangshun/tech-interview-handbook,498,1,1,2,28.004166666666666,0,0,3,2
yangshun/tech-interview-handbook,491,24,970,684,2.5794444444444444,0,0,0,1
yangshun/tech-interview-handbook,490,5,303,324,3.0588888888888888,420,0,1,2
yangshun/tech-interview-handbook,487,4,66,31,13.653055555555556,139,0,2,3
yangshun/tech-interview-handbook,478,5,203,6,2.188888888888889,0,0,0,1
yangshun/tech-interview-handbook,473,2,49,51,1.595,0,0,0,1
yangshun/tech-interview-handbook,472,11,179,44,1.5680555555555555,156,0,0,1
yangshun/tech-interview-handbook,468,7,142,6928,5.611944444444444,0,0,0,1
yangshun/tech-interview-handbook,467,1,12,2,6.652777777777778,0,0,0,1
