repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
yt-dlp/yt-dlp,11343,1,6,4,1.3883333333333334,2507,0,1,2
yt-dlp/yt-dlp,11336,2,29,9,23.63361111111111,1018,0,2,3
yt-dlp/yt-dlp,11334,1,2,1,1.985,1331,0,1,2
yt-dlp/yt-dlp,11328,4,11,3,14.175277777777778,1119,0,0,1
yt-dlp/yt-dlp,11321,14,120,75,11.783888888888889,949,0,0,1
yt-dlp/yt-dlp,11316,1,1,0,19.844722222222224,2410,0,0,1
yt-dlp/yt-dlp,11315,1,1,0,19.8525,2410,0,0,1
yt-dlp/yt-dlp,11314,1,1,0,19.86111111111111,2410,0,0,1
yt-dlp/yt-dlp,11307,1,3,0,48.77972222222222,2336,0,0,1
yt-dlp/yt-dlp,11297,1,14,31,23.358888888888888,1150,0,1,2
yt-dlp/yt-dlp,11291,1,82,90,6.018611111111111,2031,0,0,1
yt-dlp/yt-dlp,11289,1,1,4,4.029722222222222,2359,0,1,2
yt-dlp/yt-dlp,11277,7,55,0,65.46305555555556,1708,0,22,4
yt-dlp/yt-dlp,11275,1,29,2,50.598333333333336,998,0,2,2
yt-dlp/yt-dlp,11274,1,2,1,51.492777777777775,980,0,1,2
yt-dlp/yt-dlp,11269,1,4,1,87.91194444444444,2251,0,1,2
yt-dlp/yt-dlp,11266,1,68,117,125.86166666666666,2087,0,6,3
yt-dlp/yt-dlp,11258,1,10,6,3.9227777777777777,1369,0,4,2
yt-dlp/yt-dlp,11256,5,7,93,151.8563888888889,942,0,0,1
yt-dlp/yt-dlp,11255,1,4,4,158.69222222222223,2578,0,1,2
yt-dlp/yt-dlp,11250,1,6,1,4.4463888888888885,1003,0,1,2
yt-dlp/yt-dlp,11236,1,2,2,51.78611111111111,1125,0,0,1
yt-dlp/yt-dlp,11230,1,4,1,1.5766666666666667,998,0,0,1
yt-dlp/yt-dlp,11216,17,118,114,272.6525,1477,0,10,4
yt-dlp/yt-dlp,11215,1,45,15,6.675833333333333,1001,0,1,2
yt-dlp/yt-dlp,11211,1,2,2,10.581111111111111,1662,0,0,1
yt-dlp/yt-dlp,11206,2,9,1,74.6,1861,0,5,3
yt-dlp/yt-dlp,11205,4,13,24,78.93638888888889,1522,0,4,2
yt-dlp/yt-dlp,11203,1,4,3,79.5436111111111,1802,0,5,2
yt-dlp/yt-dlp,11202,1,9,8,86.29833333333333,2262,0,6,3
yt-dlp/yt-dlp,11198,2,49,23,98.24027777777778,1775,0,1,2
yt-dlp/yt-dlp,11197,1,2,1,101.5475,1726,0,3,2
yt-dlp/yt-dlp,11196,1,26,56,312.6016666666667,6326,0,3,3
yt-dlp/yt-dlp,11190,2,2,2,3.0841666666666665,2278,0,1,2
yt-dlp/yt-dlp,11156,1,2,2,92.7375,2227,0,1,2
yt-dlp/yt-dlp,11155,1,0,1,98.13833333333334,1802,0,1,2
yt-dlp/yt-dlp,11149,1,2,2,470.015,2353,0,0,1
yt-dlp/yt-dlp,11146,1,3,3,485.44694444444445,1845,0,0,1
yt-dlp/yt-dlp,11144,1,2,8,160.9911111111111,2417,0,1,2
yt-dlp/yt-dlp,11143,3,3,3,1.183888888888889,1868,0,2,2
yt-dlp/yt-dlp,11142,2,103,63,504.6286111111111,1628,0,6,3
yt-dlp/yt-dlp,11141,1,2,3,265.9769444444444,2818,0,1,2
yt-dlp/yt-dlp,11140,3,38,23,3.6286111111111112,2539,0,1,2
yt-dlp/yt-dlp,11138,1,21,7,4.865833333333334,999,0,2,2
yt-dlp/yt-dlp,11135,1,26,3,176.85333333333332,2245,0,1,2
yt-dlp/yt-dlp,11115,1,19,17,222.74055555555555,2511,0,3,3
yt-dlp/yt-dlp,11107,1,21,1,12.881666666666666,999,0,2,3
yt-dlp/yt-dlp,11104,1,9,8,17.415555555555557,1001,0,2,3
yt-dlp/yt-dlp,11101,1,16,6,17.627777777777776,999,0,1,2
yt-dlp/yt-dlp,11098,2,34,7,26.453611111111112,1094,0,2,3
yt-dlp/yt-dlp,11091,1,22,22,21.245833333333334,2320,0,3,2
yt-dlp/yt-dlp,11090,1,3,2,6.748611111111111,2211,0,2,3
yt-dlp/yt-dlp,11083,1,16,2,28.72388888888889,2477,0,6,3
yt-dlp/yt-dlp,11082,1,8,0,59.15638888888889,2251,0,5,3
yt-dlp/yt-dlp,11075,1,56,12,626.9669444444445,2231,0,5,3
yt-dlp/yt-dlp,11074,1,4,7,5.739444444444445,1001,0,0,1
yt-dlp/yt-dlp,11066,3,17,6,98.87611111111111,2593,0,10,3
yt-dlp/yt-dlp,11049,1,7,2,138.78555555555556,2264,0,0,1
yt-dlp/yt-dlp,11030,2,77,0,207.26638888888888,2226,0,1,2
yt-dlp/yt-dlp,11028,1,5,4,171.075,1037,0,1,2
yt-dlp/yt-dlp,11019,2,122,0,235.84472222222223,2258,0,7,3
yt-dlp/yt-dlp,11010,1,1,1,269.10083333333336,2267,0,3,2
yt-dlp/yt-dlp,11003,1,1,1,5.279166666666667,2376,0,1,2
yt-dlp/yt-dlp,11001,1,261,44,914.2525,3035,0,16,5
yt-dlp/yt-dlp,10999,1,15,15,426.40833333333336,2060,0,0,1
yt-dlp/yt-dlp,10992,1,39,26,18.193055555555556,1071,0,0,1
yt-dlp/yt-dlp,10988,1,9,9,19.516111111111112,2023,0,1,2
yt-dlp/yt-dlp,10959,1,25,4,129.12472222222223,1759,0,3,2
yt-dlp/yt-dlp,10956,1,1,1,133.1761111111111,2636,0,2,2
yt-dlp/yt-dlp,10952,2,37,0,146.325,2227,0,1,2
yt-dlp/yt-dlp,10950,1,11,13,149.3161111111111,2213,0,1,2
yt-dlp/yt-dlp,10947,1,10,2,1.0002777777777778,2386,0,2,3
yt-dlp/yt-dlp,10944,1,18,11,159.74277777777777,2432,0,1,2
yt-dlp/yt-dlp,10938,1,16,1,174.14388888888888,2227,0,3,2
yt-dlp/yt-dlp,10928,1,49,55,203.71277777777777,1993,0,7,4
yt-dlp/yt-dlp,10917,2,34,0,231.59472222222223,2306,0,4,3
yt-dlp/yt-dlp,10915,9,55,16,42.73166666666667,1712,0,3,3
yt-dlp/yt-dlp,10913,1,2,2,54.02638888888889,2335,0,1,2
yt-dlp/yt-dlp,10910,1,23,16,265.01444444444445,3324,0,5,2
yt-dlp/yt-dlp,10906,1,1,1,8.669722222222223,2462,0,1,2
yt-dlp/yt-dlp,10904,2,1,79,277.92555555555555,2336,0,2,3
yt-dlp/yt-dlp,10903,2,36,44,660.6080555555556,2481,0,11,3
yt-dlp/yt-dlp,10884,3,35,1,669.8272222222222,3097,0,2,3
yt-dlp/yt-dlp,10873,5,19,24,3.3280555555555558,3258,0,0,1
yt-dlp/yt-dlp,10868,1,13,1,390.21305555555557,1467,0,1,2
yt-dlp/yt-dlp,10867,1,20,1,390.7586111111111,2057,0,1,2
yt-dlp/yt-dlp,10861,8,55,0,13.47638888888889,985,0,0,1
yt-dlp/yt-dlp,10860,1,1,0,412.81888888888886,938,0,1,2
yt-dlp/yt-dlp,10858,1,27,15,428.32444444444445,2986,0,6,3
yt-dlp/yt-dlp,10844,1,27,1,36.288333333333334,2346,0,2,3
yt-dlp/yt-dlp,10832,1,86,7,521.3069444444444,2884,0,18,3
yt-dlp/yt-dlp,10830,1,1,1,21.90888888888889,2620,0,0,1
yt-dlp/yt-dlp,10807,30,60,58,916.2313888888889,1253,0,1,2
yt-dlp/yt-dlp,10795,1,3,2,1528.0658333333333,2357,0,3,3
yt-dlp/yt-dlp,10791,10,10,10,956.3177777777778,2508,0,0,1
yt-dlp/yt-dlp,10789,1,35,9,20.959444444444443,980,0,1,2
yt-dlp/yt-dlp,10787,1,21,5,631.0111111111111,2122,0,5,3
yt-dlp/yt-dlp,10786,2,52,1,1519.6886111111112,2326,0,10,4
yt-dlp/yt-dlp,10785,2,47,5,32.78277777777778,2424,0,9,3
yt-dlp/yt-dlp,10769,1,1,1,1015.5505555555555,1736,0,0,1
