Iteration,Method,QueryType,ResponseTime,ResponseSize,StatusCode
1,GraphQL,Simple,7.768540620803833,13318,200.0
1,REST,Simple,6.1219096183776855,550394,200.0
1,GraphQL,Complex,12.452296018600464,77446,200.0
1,REST,Complex,122.0541655038757,2659604,200.0
2,GraphQL,Simple,7.332276344299316,13318,200.0
2,REST,Simple,6.494348526000977,550394,200.0
2,GraphQL,Complex,14.152385950088501,77446,200.0
2,REST,Complex,124.89905817153927,2671894,200.0
3,GraphQL,Simple,8.968746662139893,13318,200.0
3,REST,Simple,6.7145209312438965,550394,200.0
3,GraphQL,Complex,14.514439344406128,77446,200.0
3,REST,Complex,124.17315063174432,2670500,200.0
4,GraphQL,Simple,7.213687419891357,13318,200.0
4,REST,Simple,6.019699573516846,550394,200.0
4,GraphQL,Complex,12.617855310440063,77446,200.0
4,REST,Complex,122.35220004066466,2675530,200.0
5,GraphQL,Simple,7.320401668548584,13318,200.0
5,REST,Simple,6.34482741355896,550394,200.0
5,GraphQL,Complex,12.93642807006836,77446,200.0
5,REST,Complex,121.43913931988526,2674965,200.0
6,GraphQL,Simple,7.08056378364563,13318,200.0
6,REST,Simple,6.368381977081299,550394,200.0
6,GraphQL,Complex,11.889705181121826,77446,200.0
6,REST,Complex,129.3987714867553,2675285,200.0
7,GraphQL,Simple,7.196218967437744,13318,200.0
7,REST,Simple,6.362208366394043,550394,200.0
7,GraphQL,Complex,13.542957067489624,77446,200.0
7,REST,Complex,122.68621749765016,2675151,200.0
8,GraphQL,Simple,7.1492369174957275,13318,200.0
8,REST,Simple,7.283251523971558,550394,200.0
8,GraphQL,Complex,12.549570322036743,77446,200.0
8,REST,Complex,121.51813341586306,2675482,200.0
9,GraphQL,Simple,7.064861536026001,13318,200.0
9,REST,Simple,6.767390012741089,550394,200.0
9,GraphQL,Complex,12.019283533096313,77446,200.0
9,REST,Complex,67.22918793479917,1455377,200.0
10,GraphQL,Simple,0.0,0,
10,REST,Simple,0.0,0,
10,GraphQL,Complex,0.0,0,
10,REST,Complex,0.0,0,
